,repo_name,topics
188,hasielhassan/PlumberManager,"['animation', 'cgi', 'dataflow', 'diagrams', 'pipeline', 'vfx', 'vfx-graph', 'vfx-pipeline', 'workflow', 'flowchart', 'graph-editor', 'node-based-ui', 'node-editor', 'nodebased', 'nodes', 'pyside', 'python', 'qt', 'documentation', 'graph-editor-gui']"
189,naetverkjs/naetverk,"['hacktoberfest', 'graph-editor', 'flow-based-programming', 'dataflow-programming', 'visual-programming', 'node-editor', 'angular', 'hacktoberfest2021']"
190,Akascape/TkNodeSystem,"['node-module', 'node-system', 'nodes', 'visual-nodes', 'flow-based-programming', 'node-based-ui', 'visual-scripting', 'customtkinter', 'tkinter-gui', 'tkinter-python', 'directed-acyclic-graph', 'tknodes', 'tknodesystem', 'tk-nodes']"
191,maximecb/noisecraft,"['sound', 'audio', 'sound-synthesis', 'music', 'music-programming', 'music-programming-language', 'javascript', 'modular-synthesizers', 'visual-programming-language', 'webaudio', 'webmidi', 'midi', 'synthesizer']"
192,dagrs-dev/dagrs,"['dag', 'rust', 'hacktoberfest', 'async', 'concurrent', 'fbp', 'flow-based-programming', 'parallel', 'task', 'tokio']"
193,bablosoft/BAS,"['automation', 'cef', 'qt', 'browser', 'macros', 'visual-programming-language', 'bot', 'bot-framework', 'poster', 'grabber', 'ide', 'windows-desktop', 'chromium', 'imacros', 'cpp']"
194,lambdabricks/bricks-front-react,"['visual-programming-language', 'functional-programming', 'dataflow-programming', 'live-programming', 'visual-programming']"
195,antonmi/ALF,"['elixir', 'flow-based-programming', 'framework', 'pipeline']"
196,lloydzhou/awesome-x6,"['antv', 'dag', 'diagram', 'flowchart', 'graph', 'graph-editor', 'javascript', 'svg', 'x6']"
197,FlowFuse/flowfuse,"['low-code', 'node-red', 'flow-based-programming', 'low-code-development', 'low-code-development-platform', 'no-code', 'visual-programming']"
198,BlocklyDuino/BlocklyDuino2Electron,"['arduino', 'blockly', 'arduino-programming', 'blocklyduino', 'education']"
199,ananswer/webusbtmc,"['usbtmc', 'visa', 'scpi', 'ieee488', 'webusb', 'blockly']"
200,LukasLoeffler/data-graph,"['flow-based-programming', 'data-processing', 'graph', 'graphical-user-interface', 'etl', 'etl-pipeline', 'low-code', 'no-code']"
201,nickretallack/nameless-language,"['programming-language', 'visual-programming-language', 'visual-programming']"
202,node-red/node-red,"['node-red', 'javascript', 'low-code', 'openjs-foundation', 'flow-based-programming', 'visual-programming']"
203,JasonSteving99/claro-lang,"['claro', 'language', 'programming-language', 'claro-lang', 'compiler', 'experimental-language', 'dataflow-programming', 'fearless-concurrency', 'metaprogramming']"
204,zhaouv/antlr-blockly,"['antlr', 'antlr4', 'blockly']"
205,ronilan/BlockLike,"['javascript', 'browser', 'scratch', 'learn-to-code', 'learning-js', 'blockly', 'educational', 'codepen', 'html5']"
206,ArsMasiuk/qvge,"['graph-editor', 'qt', 'visualization', 'education', 'science']"
207,felko/ton-lang,"['programming-language', 'visual-programming-language', 'visual-programming-editor', 'cellular-automata', 'esolang']"
208,rff255/GenesisCA,"['cellular-automata', 'ide', 'simulation', 'modelling-framework', 'visual-programming', 'design-tools', 'rule-creation', 'genesis', 'emergent-behavior', 'genesisca']"
209,JustinFincher/WWDC2022-SwiftUINodeEditor,"['wwdc-scholarship', 'wwdc-scholarship-submissions', 'wwdc22', 'swift-student-challenge', 'node-editor', 'swiftui']"
210,blockly-for-arduino/b4a,"['blockly', 'arduino', 'esp32', 'esp8266']"
211,zflow-dev/zflow,"['fbp', 'flowbased', 'low-code', 'no-code', 'visual-programming', 'dag', 'rust']"
212,pedroCabrera/PyFlow,"['python', 'pyflow', 'dataflow-programming', 'qt', 'pyside2', 'framework', 'subgraphs']"
213,darkwave/mbot-scratch-blocks,"['mbot', 'scratch', 'blockly', 'nodejs', 'javascript', 'hid', 'wifi', 'electron']"
214,GimelStudio/gsnodegraph,"['wxpython', 'nodegraph', 'gimel-studio', 'nodes', 'python', 'node-based', 'custom-widget', 'node-editor', 'graph', 'node', 'node-graph']"
215,ignatandrei/NETCoreBlockly,"['webapi', 'netcore3', 'csharp', 'blockly', 'swagger', 'odata', 'visualprogramming', 'javascript', 'graphql', 'openapi', 'jwt-authentication', 'jwt', 'jwt-auth', 'hacktoberfest']"
216,cortictechnology/cep,"['oak-d', 'edge-computing', 'artificial-intelligence', 'iot', 'raspberry-pi', 'speech-recognition', 'speech-generation', 'natural-language-processing', 'lego-mindstorms', 'smarthome', 'computer-vision', 'opencv', 'deep-learning', 'visual-programming']"
217,kloimhardt/werkbank,"['blockly', 'visualprogramming', 'clojure', 'sicmutils', 'scmutils']"
218,imagicbell/ublockly,"['blockly', 'unity']"
219,zbx1425/BlocklyAts,"['bve', 'blockly', 'code-generation', 'bve5', 'bve6', 'openbve', 'compiler', 'ide']"
220,nicolas-p/skov,"['visual-programming-language', 'visual-programming', 'programming-language', 'integrated-development-environment', 'tree-structure']"
221,Keavon/Brush-Nodes,"['procedural-textures', 'procedural-generation', 'texturing', 'texture-mapping', 'node-editor', 'node-graph', 'noise-generator', 'webgl']"
222,giulioz/cvedu,"['visual-programming', 'block', 'editor', 'react', 'three', 'computer-vision']"
223,samuelmtimbo/unit,"['unit', 'programming', 'programming-language', 'dataflow-programming', 'functional-programming', 'visual-programming', 'reactive-programming', 'live-programming']"
224,FiboAI/FiboRuleLite,"['config', 'flow-based-programming', 'rule-engine']"
225,jaimervq/all_nodes,"['gui', 'nodegraph', 'nodegraph-python', 'pyqt', 'pyside2', 'python', 'yaml', 'gui-application', 'node-based-ui', 'python3', 'qt', 'qt-gui', 'qtdesigner', 'visual-programming', 'visual-programming-editor']"
226,haptork/easyLambda,"['dataflow-programming', 'mpi', 'parallel', 'functional-programming', 'distributed-computing', 'hpc', 'cpp14']"
227,Lexpedite/blawx,"['rules-as-code', 'logic-programming', 'drag-and-drop', 'blockly', 'scasp']"
228,microsoft/pxt-microbit,"['typescript', 'blockly', 'microbit', 'makecode', 'pxt', 'code', 'editor', 'education']"
229,fragcolor-xyz/shards,"['scripting', 'scripting-language', 'coroutines', 'performance', 'cpp', 'visual', 'wasm', 'webgpu', 'egui', 'ios', 'ai', 'rust', 'android', 'linux', 'macos', 'windows', 'dataflow', 'dataflow-programming', 'shards', 'formabble']"
230,CONNECT-platform/connect-platform,"['nodejs', 'nodejs-framework', 'backend', 'microservice', 'visual-programming-language', 'low-code', 'low-code-development-platform']"
231,DavidAzouz29/Snap,"['unity-editor', 'unity3d', 'blockly', 'polyglot', 'snapper']"
232,kovacsv/VisualScriptEngineWeb,"['node-editor', 'visual-scripting', 'emscripten', 'cpp', 'javascript']"
233,ezatpanah/Flow-Retrofit-Youtube,"['flow', 'flow-based-programming', 'retrofit', 'retrofit2-coroutines', 'retrofit2-kotlin', 'flow-retrofit']"
234,koishijs/koishi-plugin-blockly,"['chatbot', 'flow-based-programming', 'low-code', 'plugin', 'koishi', 'koishi-plugin']"
235,gorenje/node-red-flowviewer-js,"['node-red', 'svg', 'visual-programming']"
236,MrXujiang/flowmix-flow,"['dify', 'flow', 'flow-based-programming', 'flowmix', 'react-flow', 'reactflow', 'vueflow']"
237,samelhusseini/awesome-blockly,"['awesome', 'blockly']"
238,BrendanParmer/NodeToPython,"['add-on', 'art', 'blender', 'blender-addon', 'blender-python', 'blender-script', 'geometry-nodes', 'procedural', 'procedural-art', 'python', 'geonodes', 'node-to-python', 'material', 'node-editor']"
239,GimelStudio/Gimel-Studio,"['node-based', 'graphics', 'image-manipulation', 'gimel-studio', 'wxpython', 'photo-editing', 'non-destructive', 'graphics-editor', 'image-editor', 'photography', 'node-editor']"
240,roroettg/ngx-blockly,"['angular', 'blockly']"
241,Eole7/Blosky,"['spigot', 'minecraft', 'transpiler', 'blockly', 'skript', 'bukkit', 'papermc', 'electron', 'nodejs', 'scratch']"
242,Azzinoth/VisualNodeSystem,"['cplusplus', 'graph-editor', 'imgui', 'node-editor', 'visual-programming']"
243,antvis/X6,"['diagramming', 'graph', 'svg', 'antv', 'graph-editor', 'dag', 'flowchart', 'uml-diagram', 'erdiagram', 'diagram', 'erd', 'javascript-diagramming-library', 'typescript', 'javascript']"
244,preesm/preesm,"['dataflow', 'dataflow-programming']"
245,kobra-dev/Kobra,"['machine-learning', 'visual-programming-language', 'education', 'javascript', 'react', 'kobra', 'nextjs', 'blockly', 'typescript']"
246,schwa/SwiftNodeEditor,"['node', 'swiftui', 'visual', 'visual-programming', 'edge', 'graph']"
247,ThinkingForms/VLML,"['vl', 'machine-learning', 'library', 'flow-based-programming', 'cntk', 'ai', 'dotnet']"
248,beyse/NodeEditor,"['node-editor', 'flow-based-programming', 'pyqt5', 'python']"
249,kachayev/timely0,"['timely', 'dataflow', 'dataflow-programming', 'data', 'graph']"
250,nocode-js/sequential-workflow-designer,"['flowchart', 'lowcode', 'nocode', 'workflow', 'designer', 'flow-based-programming', 'workflow-designer', 'component', 'javascript', 'typescript', 'no-code', 'react', 'reactjs', 'workflow-builder', 'citizen-developers', 'citizen-development', 'automation', 'workflow-automation']"
251,zealtv/bop,"['composition', 'distributed', 'embedded', 'music', 'music-theory', 'pd', 'pd-vanilla', 'puredata', 'spatial-music', 'generative-music', 'live-coding', 'media-art', 'music-composition', 'patching', 'visual-programming', 'metacomposition']"
252,EricssonResearch/calvin-base,"['iot', 'actor-model', 'calvin', 'actors', 'ericsson', 'dataflow-programming', 'internet-of-things']"
253,richorama/IronBlock,"['blockly', 'netcore']"
254,factor18/flo,"['flow-based-programming', 'fbp', 'elixir', 'workflow-engine']"
255,weihuajiang/WPF-Blockly,"['visual-programming', 'scripting', 'scripting-engine', 'blockly', 'children-programming']"
256,caliconiko/shapes,"['esoteric-language', 'python', 'opencv-python', 'esoteric-languages', 'esoteric-interpreter', 'images', 'image', 'png', 'shapes', 'shape', 'shape-recognition', 'esolang', 'esolangs', 'eso', 'esoteric-programming-language', 'visual-programming', 'visual-programming-language', '2d-programming-language']"
257,Rezonality/nodegraph,"['graph-algorithms', 'nodegraph-framework', 'nodegraph', 'visual-programming']"
258,simeonradivoev/UI-Node-Editor,"['unity3d-editor', 'unity', 'csharp', 'node-editor', 'user-interface', 'graphics']"
259,SneezingCactus/gmmaker,"['bonkio', 'mod', 'blockly', 'monaco']"
260,VRL-Studio/VRL,"['visual-programming-language', 'visual-reflection-library', 'vrl', 'vrl-studio', 'java', 'integrated-development-environment', 'swing', 'javafx']"
261,imengyu/node-blueprint,"['blueprint', 'visual-scripting', 'html5', 'visual-scripting-language', 'visual-programming-language', 'functional-reactive-programming', 'electron', 'dataflow-programming', 'visual-programming-editor', 'visual-programming', 'node', 'editor']"
262,sacode387/FlowRun,"['diagram', 'editor', 'flowchart', 'graphviz', 'scala', 'scalajs', 'executable-flowcharts', 'flowchart-diagrams', 'flowcharts', 'visual-programming', 'visual-programming-language', 'd3', 'diagramming', 'uml', 'uml-diagram', 'uml-flow-diagram', 'executable-uml', 'runnable', 'flowchart-editor']"
263,GraphiteEditor/Graphite,"['graphics-editor', 'vector-editor', 'photo-editing', 'photo-editor', 'compositor', '2d-graphics', 'art', 'design', 'node-editor', 'procedural-art', 'procedural-drawing', 'image-processing', 'image-manipulation', 'image-generation', 'node-graph', 'svg-editor', 'graphic-design', 'procedural']"
264,mafik/automat,"['automat', 'automation', 'visual-programming']"
265,alexst07/flutter_node_editor,"['blueprints', 'flutter-package', 'flutter-ui', 'graph-editor']"
266,xodio/xod,"['visual-programming-language', 'ide', 'electronics', 'functional-reactive-programming', 'arduino']"
267,luiscript/ofxDarkKnight,"['openframeworks', 'flow-based-programming', 'vjing', 'projection-mapping', 'interactive', 'audiovisual', 'performance']"
268,telephil9/slug,"['9front', 'graphics-programming', 'visual-programming']"
269,A-S-T-U-C-E/STudio4Education,"['stm32', 'education', 'blockly', 'microcontroller']"
270,moonrailgun/codeck,"['flow-based-programming', 'low-code', 'typescript', 'flowchart', 'nodebased', 'visual-programming', 'visual-programming-editor', 'blurprint', 'codeck']"
271,vabene1111/Django-PiGPIO,"['python', 'django', 'api', 'raspberry-pi', 'blockly', 'docker', 'docker-compose']"
272,chermenin/kio,"['apache-beam', 'apache', 'beam', 'batch', 'streaming', 'sql', 'cep', 'big-data', 'kotlin-extensions', 'kotlin', 'dataflow', 'dataflow-programming', 'google-cloud-platform']"
273,cac-t-u-s/om-sharp,"['computer-assisted-composition', 'music', 'visual-programming', 'lisp']"
274,endlessm/godot-block-coding,"['block-coding', 'education', 'godot', 'godot4', 'visual-programming']"
275,PaulSchweizer/flowpipe,"['python', 'flow-based-programming', 'graph', 'node', 'flow']"
276,phpflo/phpflo,"['flow-based-programming', 'fbp', 'php', 'php7', 'noflo', 'graph', 'flow']"
277,GIRA/PhysicalBits,"['concurrent-programming-language', 'educational-robotics', 'virtual-machine', 'live-coding', 'physical-computing', 'arduino', 'hybrid-blocks', 'blockly', 'autonomy']"
278,RaftLib/RaftLib,"['parallel', 'dataflow-programming', 'raftlib', 'c-plus-plus', 'hpc', 'runtime', 'thread-library', 'qthreads', 'pthreads', 'ipc', 'streaming', 'thread', 'qthread-library', 'cmake', 'opencv', 'machine', 'dataflow', 'dataflows', 'dataflow-structure', 'dsl']"
279,ticlo/ticlo,['visual-programming']
280,jyjblrd/flowblocks,"['raspberry-pi-pico', 'visual-programming', 'visual-programming-editor', 'visual-programming-language', 'low-code']"
281,PetoiCamp/OpenCatEsp32,"['arduino', 'esp32', 'robotics', 'legged-robot', 'quadruped', 'quadruped-robot-gaits', 'raspberry-pi', 'simulation', 'stem', 'ai', 'block-coding', 'education', 'iot', 'robot-cat', 'robot-dog', 'robot-kit', 'robot-pet', 'robotics-education', 'visual-programming', 'walking-robot']"
282,siyul-park/uniflow,"['automation', 'data-integration', 'data-pipelines', 'data-science', 'low-code-framework', 'workflow', 'workflow-engine', 'flow-based-programming']"
283,vuo/vuo,"['clang', 'llvm', 'visual-programming-language', 'compiler', 'composition', 'graphics', 'graphics-programming', 'realtime', 'vpls', 'vj', 'graphviz-dot', 'parallel-computing', 'glsl', 'opengl', 'vuo', 'macos', 'declarative', 'declarative-language', 'hacktoberfest']"
284,MakesYT/NodifyM.Avalonia,"['avalonia', 'avaloniaui', 'mvvm', 'net', 'node-editor', 'zooming']"
285,bdurrer/home-assistant-blockly,"['home-assistant', 'blockly', 'yaml-editor']"
286,BIPES/BIPES,"['iot', 'arduino', 'embedded-systems', 'esp32', 'esp8266', 'web', 'blockly', 'block', 'programming', 'embedded', 'micropython']"
287,technologiescollege/BlocklyArduinoIDEPlugin,"['arduino', 'blocklyduino', 'blockly', 'education', 'technology', 'stem']"
288,technologiescollege/BlocklyArduino_electrified,"['blockly', 'blocklyduino', 'blocklyarduino', 'education', 'stem', 'arduino']"
289,fibo/flow-view,"['dataflow-programming', 'data-flow', 'svg', 'visual-editor', 'nodejs']"
290,luis-l/UnityNodeEditorBase,"['unity3d', 'node-editor']"
291,meemoo/meemooapp,"['vj', 'dataflow', 'visual-programming', 'media', 'web-art', 'animation', 'webapp']"
292,lornajane/openapi-blockly-representation,"['blockly', 'datavisualization', 'openapi3']"
293,poletaevvlad/svg-filter-editor,"['svg', 'svg-filters', 'node-editor']"
294,kir486680/Network-Assembler,"['deep-neural-networks', 'neural-network', 'nodejs', 'electron', 'tensorflow', 'keras-tensorflow', 'keras', 'desktop-app', 'blockly', 'js', 'html']"
295,njourdane/jaffle,"['algorave', 'music', 'yaml', 'node-editor', 'tidalcycles', 'livecoding']"
296,Entkenntnis/robot-karol-online,"['karol', 'robot-karol', 'robotkarol', 'block-based-programming', 'blockly', 'education', 'learning-environment']"
297,microsoft/pxt,"['typescript', 'javascript', 'blockly', 'editor', 'pxt', 'makecode', 'microbit', 'adafruit', 'minecraft', 'microsoft-makecode']"
298,xyflow/awesome-node-based-uis,"['node-based-ui', 'awesome-list', 'etl', 'visual-programming', 'workflow-editor']"
299,ghostiam/vue-blocks,"['vuejs2', 'dataflow', 'visual-programming', 'workflow', 'blueprints', 'graph', 'blocks', 'editor']"
300,risesoft-y9/DataFlow-Engine,"['jackson', 'java', 'kafka', 'nacos', 'quartz', 'springboot2', 'springcloud', 'springdata-jpa', 'vue3', 'data-engineering', 'dataflow-programming', 'sechedular', 'docker']"
301,lochbrunner/react-flow-editor,"['react', 'react-component', 'flow-based-programming', 'typescript', 'scss']"
302,MediaTek-Labs/BlocklyDuino-for-LinkIt,"['blocklyduino', 'arduino', 'blockly', 'linkit']"
303,frankframework/frank-flow,"['easy-to-use', 'editor', 'faas', 'flow', 'flow-based-programming', 'integration', 'ipaas', 'low-code', 'system-integration', 'no-code', 'node-editor', 'frank']"
304,Sverchok/Sverchok,"['visual-programming-language', 'numpy', 'blender-addon', 'geometry', 'bmesh']"
305,hempflower/rtxd,"['blueprint', 'serial', 'serialport', 'tools', 'wails', 'visual-programming']"
306,jweinst1/Wind,"['reactive-programming', 'compiler', 'flow-based-programming', 'programming-language', 'data-processing']"
307,paol-imi/blockly-gamepad,"['gamepad', 'blockly', 'javascript', 'extension', 'game', 'asynchronous', 'async', 'await']"
308,Sarxzer/cc-blockly-editor,"['blockly', 'computercraft', 'computercraft-tweaked']"
309,Warewolf-ESB/Warewolf,"['warewolf', 'c-sharp', 'eula', 'microservices', 'flow-based-programming', 'flowchart', 'rest-api', 'visual', 'drag-and-drop', 'rapid-development', 'easy-to-use', 'test-framework', 'workflow-engine', 'f-sharp', 'workflow-management', 'workflow-catalog', 'rapid-prototyping', 'workflow-foundation', 'workflow-merging', 'workflow-version-control']"
310,haroldo-ok/vcs-game-maker,"['visual-language', 'atari2600', 'ide', 'no-code', 'blockly', 'vue', 'bataribasic', 'retrogaming', 'visual-scripting-language', 'homebrew']"
311,thedmd/imgui-node-editor,"['blueprint', 'blueprints', 'dear-imgui', 'game-development', 'gamedev', 'imgui', 'immediate-gui', 'middleware', 'node-editor']"
312,kovacsv/VisualScriptEngine,"['node-editor', 'visual-scripting', 'cpp']"
313,otto-link/Hesiod,"['heightmap', 'node-editor', 'procedural', 'procedural-generation', 'terrain-generation']"
314,microsoft/OneLabeler,"['annotation', 'data-labeling', 'interactive-machine-learning', 'visual-programming']"
315,fbbdev/nodal,"['c-plus-plus', 'c-plus-plus-14', 'cpp', 'flow', 'flow-based-programming', 'graph', 'programming', 'compiler', 'framework', 'dataflow', 'dataflow-programming', 'dataflow-compiler', 'library', 'cpp14']"
316,zebulon75018/flasklitegraphjs,"['flask', 'node-editor', 'graph-editor', 'litegraph']"
317,mimorisuzuko/chain,"['visual-programming', 'react']"
318,UniStuttgart-INS/INSTINCT,"['fbp', 'flow-based-programming', 'navigation', 'pnt', 'positioning', 'sensor-fusion', 'imgui', 'cpp']"
319,qadir0108/VisualProgramming,"['desktop-application', 'visual-programming', 'csharp']"
320,juliandavidmr/onboard,"['d3', 'node-editor', 'visual-programming']"
321,reaviz/reaflow,"['reactjs', 'workflow', 'node-editor', 'diagrams', 'elkjs', 'react', 'visualizations', 'flowchart', 'hacktoberfest']"
322,GimelStudio/GimelStudio,"['image-editor', 'non-destructive', 'graphics', 'gimel-studio', 'design-tools', 'photo-editor', '2d-graphics', 'photography', 'node-editor', 'image-manipulation', 'graphics-editor', 'node-based', 'dart', 'flutter', 'vector-graphics']"
323,Dadido3/D3hex,"['hex-editor', 'purebasic', 'memory-searching', 'memory-hacking', 'data-visualization', 'checksum', 'flow-based-programming', 'viewer']"
324,rgleichman/glance,"['glance', 'haskell', 'visual-programming-language', 'visual-programming', 'graph-layout', 'diagrams', 'graphviz', 'visual', 'functional-programming', 'gtk', 'gtk3', 'gdk', 'cairo']"
325,Kazuhito00/Image-Processing-Node-Editor,"['dearpygui', 'node-editor', 'onnx', 'onnxruntime', 'opencv', 'image-processing-node-editor']"
326,BlocklyDuino/BlocklyDuino,"['arduino', 'blockly']"
327,ERnsTL/flowd,"['fbp', 'flow-based-programming', 'dataflow', 'dataflow-programming', 'fbp-runtimes', 'rust', 'rust-lang', 'rustlang', 'fbp-runtime']"
328,Malpaux/fbp-types,"['flow-based-programming', 'nodejs', 'typescript', 'types', 'cross-platform', 'language']"
329,wonglok/enstudio,"['threejs', 'react', 'generative-art', 'cable-and-boxes', 'visual-programming']"
330,Fattorino/ImNodeFlow,"['blueprints', 'cpp', 'dear-imgui', 'imgui', 'immediate-gui', 'library', 'node-editor', 'tool', 'cross-platform']"
331,monologue-tool/monologue,"['dialog', 'dialogue', 'dialogue-systems', 'dialogues', 'godot', 'lightnovel', 'node-editor', 'visual-novel', 'visualnovel']"
332,TeodorVecerdi/CodeGraph,"['tool', 'unity', 'unity-editor', 'unity-plugin', 'visual-coding', 'visual', 'scripting', 'visual-scripting', 'artist', 'codegraph', 'visual-programming', 'programming', 'graphview', 'uielements', 'unity3d']"
333,benfoster/Flo,"['asp-net-core', 'asp-net', 'csharp', 'pipeline-framework', 'flow-based-programming']"
334,saurabhguptarock/TisScript,"['dart', 'flutter', 'programming-language', 'programming', 'visual-programming-editor', 'flutter-web']"
335,gk646/raynodes,"['editor', 'node-editor', 'raylib', 'customization', 'plugins', 'tools']"
336,mathieuguyot/oura-node-editor,"['react', 'typescript', 'ui-components', 'graph', 'node', 'editor', 'node-editor']"
337,Pen-Group/penPlus-shader-editor,"['blockly', 'coding', 'glsl', 'shaders']"
338,DRUMNICORN/Visio,"['automation', 'data-analysis', 'data-manipulation', 'extensions', 'graph-algorithms', 'node-based', 'visual-programming', 'data-processing', 'data-science', 'graph-editor', 'low-code', 'plotting', 'visualization', 'dataflow-programming', 'flow-based-programming', 'flowchart', 'node', 'data-analytics']"
339,renestein/Rstein.AsyncCpp,"['coroutine', 'task-parallel-library', 'coroutines', 'async', 'await', 'concurrency', 'functional-task', 'taskcompletionsource', 'task', 'hot-tasks', 'cpp', 'dataflow', 'dataflow-programming', 'dataflow-engine', 'actor-model', 'actor', 'agent']"
340,OpenFPGAduino/OpenFPGAduino,"['javascript', 'nodejs', 'fpga', 'opensource', 'blockly', 'iot', 'arduino', 'grove-shield', 'hardware', 'verilog', 'c', 'cpp', 'altera', 'arm', 'iiot']"
341,VubbiScript/VubbiScript,"['unity3d', 'blockly', 'visual', 'programming-language', 'programming']"
342,jtnimoy/rigglin,"['blockly', 'processing', 'p5js', 'programming', 'learning']"
343,QuadrantIV/Graphix,"['graph', 'graph-editor', 'oop', 'react', 'typescript', 'editor-model', 'editor-skeleton', 'graphix', 'editor-engine', 'bpm', 'bpmn', 'bpmn-js', 'data-driven', 'model-driven']"
344,snap-cloud/snapCloud,"['snap', 'educational-technology', 'visual-programming-language']"
345,Wouterdek/NodeNetwork,"['wpf', 'wpf-controls', 'node-editor', 'csharp', 'reactiveui']"
346,JuergenGutsch/sharply,"['csharp', 'electron', 'blockly', 'netcore', 'scriptcs']"
347,ryrobes/flowmaps,"['async', 'clojure', 'flow-based-programming', 'visualization']"
348,toblotron/praxis-ide,"['low-code', 'online-idecode-editor', 'prolog', 'prolog-programming-language', 'visual-programming-editor']"
349,fibo/dflow,"['dataflow-programming', 'dataflow']"
350,marianoguerra/band-blocks,"['music', 'blockly', 'visual', 'programming', 'visual-programming-language', 'bandjs']"
351,chkworks/VL.TheBigBang,"['tutorial', 'vl', 'vvvv', 'skia', 'stride', 'dotnet', 'visual-programming', 'creative-coding']"
352,paceholder/nodeeditor,"['dataflow-programming', 'graph', 'qt5', 'cpp', 'model-view', 'qt6']"
353,JustinFincher/WWDC19Playground,"['node-editor', 'wwdc-scholarship', 'wwdc', 'swift', 'spritekit', 'shader', 'vj']"
354,newcat/baklavajs,"['vuejs', 'graph', 'node', 'editor', 'node-editor', 'dataflow', 'dataflow-programming', 'flow-based-programming', 'flow', 'flow-control']"
355,alelievr/Mixture,"['texture-synthesis', 'procedural-generation', 'node-editor', 'graphics-programming']"
356,demonray/cyeditor,"['flowchart', 'flow', 'chart', 'chart-editor', 'flow-chart', 'process', 'graph-editor', 'cytoscapejs', 'cyeditor']"
357,kovacsv/VisualScriptCAD,"['cad', '3d', 'node-editor', 'visual-scripting', 'cpp']"
358,vvvv/VL.Stride,"['visual-programming', 'vl', 'xenko', 'stride', 'vvvv', 'gamedev']"
359,orionrobots/Bounce,"['blockly', 'esp8266', 'lua', 'electronics']"
360,Tanneguydv/Pythonocc-nodes-for-Ryven,"['parametric-modelling', 'visualprogramming', 'nodeeditor', 'python', '3d', 'cad', 'pythonocc', 'opencascade', 'flow-based-programming']"
361,vectaport/fgbase,"['golang', 'flowgraph', 'goroutine', 'flowgraph-coordination', 'go', 'wiki', 'flow-based-programming', 'dataflow', 'concurrent', 'distributed', 'scalable']"
362,cemuka/UnityRuntimeNodeEditor,"['unity', 'node', 'editor', 'node-editor', 'unity3d', 'graph', 'runtime', 'unity3d-plugin', 'framework']"
363,ICLDisco/dplasma,"['linear-algebra-library', 'dataflow-programming', 'high-performance-computing', 'gpu-acceleration', 'gpu-computing']"
364,TezWell/VisualTez,"['tezos', 'smart-contracts', 'visual-programming']"
365,wahidrachmawan/uNode,"['unity', 'unity2d', 'unity3d', 'visual-programming', 'visual-scripting', 'c-sharp']"
366,intel/dffml,"['machine-learning', 'data-flow', 'asyncio', 'event-based', 'flow-based-programming', 'dag', 'hyperautomation', 'dataflows', 'datasets', 'dffml', 'swrepo', 'ai-inference', 'ai-training', 'analytics', 'ai-machine-learning', 'frameworks', 'libraries', 'models', 'pipelines', 'python']"
367,farzadshayanfar/nodiumpy,"['flow-based-programming', 'image-processing', 'node-editor', 'python', 'dearpygui']"
368,chigraph/chigraph-gui,"['dataflow-programming', 'qt5', 'chigraph', 'kf5']"
369,CheshireCaat/bas-remote-node,"['bas', 'bas-remote', 'bas-client', 'bas-remote-control', 'bas-remote-client', 'automation', 'cef', 'browser', 'macros', 'visual-programming-language', 'bot', 'bot-framework', 'poster', 'grabber', 'ide', 'windows', 'desktop', 'chromium', 'imacros', 'browserautomationstudio']"
370,public-accountability/oligrapher,"['javascript', 'graphviz', 'visualization', 'graph-editor', 'network-graph', 'react']"
371,Siddhesh2377/AndroidBox,"['andorid', 'android-application', 'editor', 'ide', 'java', 'node', 'node-editor']"
372,cvlab-ai/cvlab,"['cv-lab', 'opencv', 'computer-vision', 'python', 'image-processing', 'visual-programming', 'prototyping']"
373,coloz/b4a-creator,"['arduino', 'blockly', 'esp32', 'esp8266']"
374,Oneirocom/Magick,"['ai', 'blueprints-visual-scripting', 'fine-tuning', 'gpt-3', 'gpt-3-prompts', 'large-language-models', 'no-code', 'node-editor', 'prompt-engineering', 'text-generation', 'typescript', 'virtual-assistant', 'visual-scripting', 'agi', 'langchain', 'embeddings', 'pgvector', 'agent', 'gemini', 'gpt-4o']"
375,uniflow-io/uniflow,"['uniflow', 'workflow', 'automation', 'self-hosted', 'flow-based-programming']"
376,biolab/orange3,"['data-mining', 'data-science', 'machine-learning', 'data-visualization', 'orange', 'python', 'scikit-learn', 'numpy', 'scipy', 'pandas', 'decision-trees', 'clustering', 'visualization', 'orange3', 'random-forest', 'plotting', 'classification', 'regression', 'visual-programming']"
377,JustusUlbrich/Leuchtknoten,"['ws2812b', 'esp32', 'node-editor']"
378,tomara-x/quartz,"['bevy', 'fundsp', 'rust', 'dsp', 'visual-programming', 'music', 'modular-synthesizers', 'music-programming', 'synthesizer']"
379,ICLDisco/parsec,"['gpu-acceleration', 'gpu-computing', 'dataflow-programming', 'runtime-system', 'high-performance-computing']"
380,haloman9527/3.0_GraphProcessor,"['graph', 'node-editor', 'unity-editor', 'node-based']"
381,webduinoio/webduino-blockly,"['blockly', 'webduino', 'arduino']"
382,to-be-architect/geditor,"['graph', 'graphx', 'graph-editor', 'springboot', 'kotlin', 'groovy', 'groovy-template', 'springboot2', 'uml', 'uml-diagrams', 'sequence-diagram', 'flowchart']"
383,onurae/core-nodes,"['imgui', 'node-editor']"
